Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
115,Tyler Perry's The Single Moms Club,LGF,"$15,973,881","1,896","$8,075,111","1,896",3/14,5/1
116,Devil's Due,Fox,"$15,821,461","2,544","$8,308,220","2,544",1/17,3/20
117,And So It Goes,CE,"$15,160,801","1,816","$4,642,329","1,762",7/25,10/2
118,Step Up All In,LG/S,"$14,904,384","2,072","$6,469,857","2,072",8/8,10/2
119,Beyond the Lights,Rela.,"$14,618,727","1,789","$6,200,284","1,789",11/14,2/5
120,Big Eyes,Wein.,"$14,482,031","1,408","$3,001,738","1,307",12/25,3/26
121,America (2014),LGF,"$14,444,502","1,105","$38,608",3,6/27,9/4
122,Left Behind (2014),Free,"$14,019,924","1,887","$6,300,147","1,825",10/3,12/11
123,Frank Miller's Sin City: A Dame to Kill For,W/Dim.,"$13,757,804","2,894","$6,317,683","2,894",8/22,10/9
124,Labor Day,Par.,"$13,371,528","2,584","$5,175,282","2,584",1/31,3/20
125,Whiplash,SPC,"$13,092,000",567,"$135,388",6,10/10,4/12
126,Winter's Tale,WB,"$12,600,231","2,965","$7,297,694","2,965",2/14,4/3
127,Foxcatcher,SPC,"$12,096,300",759,"$270,877",6,11/14,3/8
128,Belle,FoxS,"$10,726,630",525,"$106,578",4,5/2,8/28
129,The Drop,FoxS,"$10,724,389","1,192","$4,104,552",809,9/12,11/13
130,Island of Lemurs: Madagascar (IMAX),WB,"$10,660,239",302,"$188,307",37,4/4,-
131,P.K.,UTV,"$10,616,104",272,"$3,565,258",272,12/19,2/12
132,Magic in the Moonlight,SPC,"$10,539,326",964,"$412,095",17,7/25,11/20
133,Sabotage (2014),ORF,"$10,508,518","2,486","$5,272,444","2,486",3/28,5/15
134,Moms' Night Out,TriS,"$10,429,707","1,046","$4,311,083","1,044",5/9,7/13
135,The Quiet Ones,LGF,"$8,509,867","2,027","$3,880,053","2,027",4/25,6/5
136,Legends of Oz: Dorothy's Return,CE,"$8,462,027","2,658","$3,747,780","2,658",5/9,7/31
137,Inherent Vice,WB,"$8,110,975",653,"$328,184",5,12/12,2/26
138,Vampire Academy,Wein.,"$7,791,979","2,676","$3,921,742","2,676",2/7,4/10
139,Bad Words,Focus,"$7,779,614","1,074","$113,301",6,3/14,5/29
140,Cantinflas,LGF,"$6,382,924",429,"$2,661,253",382,8/29,10/16
141,The Interview (2014),Sony,"$6,105,175",581,"$1,794,666",331,12/25,1/25
142,Meet the Mormons,Purd.,"$6,047,363",333,"$2,509,808",317,10/10,2/12
143,A Most Violent Year,A24,"$5,749,134",818,"$172,788",4,12/31,4/26
144,Cesar Chavez,LGF,"$5,571,497",664,"$2,861,528",664,3/28,5/8
145,The Skeleton Twins,RAtt.,"$5,284,309",461,"$380,691",15,9/12,12/25
146,The Wind Rises,BV,"$5,209,580",496,"$313,751",21,2/21,5/22
147,Snowpiercer,RTWC,"$4,563,650",356,"$171,187",8,6/27,10/23
148,The Railway Man,Wein.,"$4,438,438",600,"$61,845",4,4/11,7/17
149,Dear White People,RAtt.,"$4,404,154",393,"$347,959",11,10/17,1/25
150,The Lunchbox,SPC,"$4,235,151",165,"$44,542",3,2/28,9/18
151,My Old Lady,Cohen,"$4,013,786",273,"$124,680",11,9/10,1/15
152,Mr. Turner,SPC,"$3,958,500",120,"$109,000",5,12/19,4/12
153,Ida,MBox,"$3,827,060",137,"$55,438",3,5/2,5/7
154,Fading Gigolo,MNE,"$3,769,873",356,"$180,801",5,4/18,7/17
155,Calvary,FoxS,"$3,600,006",322,"$74,149",4,8/1,10/16
156,Wish I Was Here,Focus,"$3,591,299",753,"$484,401",68,7/18,9/11
157,Ghostbusters (30th Anniversary re-release),Sony,"$3,580,343",784,"$1,756,513",784,8/29,9/18
158,Mommy,RAtt.,"$3,494,070",83,"$473,882",62,9/19,3/19
159,What If (2014),CBS,"$3,493,000",787,"$133,898",20,8/8,9/18
160,The Grand Seduction,EOne,"$3,430,018",124,"$323,743",94,5/30,9/11
161,Veronica Mars,WB,"$3,322,127",347,"$1,988,351",291,3/14,4/24
162,Before I Go To Sleep,CE,"$3,242,457","1,902","$1,843,347","1,902",10/31,11/20
163,Rosewater,ORF,"$3,128,941",371,"$1,154,303",371,11/14,1/1
164,Obvious Child,A24,"$3,123,963",202,"$77,315",3,6/6,10/9
165,The Trip to Italy,IFC,"$2,880,537",199,"$71,712",3,8/15,11/9
166,The Identical,Free,"$2,827,666","1,956","$1,587,137","1,956",9/5,9/25
167,The Fluffy Movie,ORF,"$2,827,393",432,"$1,311,446",432,7/25,8/28
168,Citizenfour,RTWC,"$2,800,870",105,"$126,321",5,10/24,4/30
169,Kirk Cameron's Saving Christmas,Gold.,"$2,783,970",410,"$992,087",410,11/14,12/25
170,The Pyramid,Fox,"$2,756,333",685,"$1,369,935",589,12/5,1/29
171,The Good Lie,WB,"$2,722,209",461,"$841,422",461,10/3,1/8
172,The Raid 2,SPC,"$2,627,209",954,"$165,292",7,3/28,6/19
173,Under the Skin (2014),A24,"$2,614,251",176,"$133,154",4,4/4,8/14
174,The Admiral: Roaring Currents,CJ,"$2,589,811",45,"$51,431",1,8/8,11/6
175,Dragon Ball Z: Battle of Gods,SV,"$2,553,002",692,"$296,414",62,8/5,8/14
176,Bang Bang,FIP,"$2,546,172",271,"$1,278,690",271,10/2,10/19
177,Kick,UTV,"$2,472,695",180,"$1,071,373",180,7/25,8/21
178,Kill the Messenger,Focus,"$2,450,846",427,"$941,809",374,10/10,12/11
179,The Homesman,Saban,"$2,429,989",222,"$45,433",4,11/14,2/26
180,Ode to My Father,CJ,"$2,300,121",38,"$33,880",1,12/25,4/12
181,Love is Strange,SPC,"$2,262,223",138,"$117,276",5,8/22,11/20
182,2 States,UTV,"$2,238,174",137,"$1,073,898",135,4/18,5/29
183,Le Week-End,MBox,"$2,225,098",157,"$43,608",3,3/14,7/3
184,Anchorman 2 (R-Rated Extended Cut),Par.,"$2,184,339","1,317","$1,358,833","1,317",2/28,3/20
185,2014 Oscar Nominated Short Films,Shrts.,"$2,171,849",167,"$329,505",105,1/31,3/2
186,Words and Pictures,RAtt.,"$2,171,257",216,"$87,879",10,5/23,8/21
187,Gloria (2014),RAtt.,"$2,107,925",110,"$56,454",3,1/24,5/15
188,The Immigrant,Wein.,"$2,025,328",150,"$44,064",3,5/16,7/3
189,Only Lovers Left Alive,SPC,"$1,879,534",95,"$87,989",4,4/11,9/18
190,Tusk,A24,"$1,826,705",602,"$846,831",602,9/19,11/13
191,Tim's Vermeer,SPC,"$1,671,377",129,"$49,777",4,1/31,5/29
192,Persecuted,MNE,"$1,558,836",736,"$851,391",736,7/18,8/14
193,Awake: The Life of Yogananda,CF&SR,"$1,539,680",21,"$18,885",1,10/10,9/10
194,Fed Up,RTWC,"$1,538,899",104,"$126,028",18,5/9,8/28
195,Finding Vivian Maier,IFC,"$1,514,782",97,"$63,600",3,3/28,8/10
196,Pride (2014),CBS,"$1,446,634",124,"$100,040",10,9/26,11/20
197,"Two Days, One Night",IFC,"$1,436,243",120,"$30,700",2,12/24,5/7
198,Locke,A24,"$1,375,769",121,"$81,006",4,4/25,8/14
199,Gimme Shelter,RAtt.,"$1,359,910",385,"$689,070",385,1/24,2/27
200,Force Majeure,Magn.,"$1,359,497",68,"$23,309",2,10/24,3/5
Summary of 702 Movies on Chart:
Totals:,"$10,435,427,977",-,-,-,-,-
Averages:,"$14,865,282",-,-,-,-,-
""
Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
201,Jai Ho,Eros,"$1,264,515",195,"$840,506",195,1/24,2/13
202,Singham Returns,Eros,"$1,232,018",127,"$654,045",127,8/15,9/18
203,Repentance,LGF,"$1,189,612",157,"$501,290",152,2/28,3/27
204,The Remaining,Triu,"$1,169,603",85,"$159,143",67,9/5,10/19
205,Hector And The Search For Happiness,Rela.,"$1,124,445",183,"$40,847",4,9/19,12/18
206,The Rover,A24,"$1,114,423",608,"$69,302",5,6/13,8/21
207,Walking with the Enemy,LS,"$1,112,592",258,"$331,855",258,4/25,12/10
208,Leviathan (2014),SPC,"$1,092,800",80,"$15,200",2,12/25,3/15
209,The Captive,A24,"$1,075,178",133,"$407,804",132,9/5,1/8
210,Laggies,A24,"$1,066,981",306,"$74,139",5,10/24,12/18
211,50 to 1,10F,"$1,064,454",133,"$78,480",19,3/21,10/16
212,Haider,UTV,"$1,048,143",119,"$508,084",119,10/2,10/30
213,Third Person,SPC,"$1,021,398",227,"$38,856",5,6/20,9/25
214,Stalingrad (2014),Sony,"$1,013,945",308,"$510,846",308,2/28,4/6
215,The Song,Gold.,"$1,009,620",340,"$568,596",340,9/26,10/23
216,Enemy,A24,"$1,008,726",120,"$16,161",1,3/14,5/15
217,The Babadook,IFC,"$964,413",80,"$30,007",3,11/28,3/12
218,Shaadi Ke Side Effects,Eros,"$921,277",108,"$582,672",108,2/28,3/27
219,Mas Negro Que La Noche,LGF,"$870,063",178,"$539,867",178,9/26,10/23
220,Particle Fever,Abr.,"$869,838",27,"$53,901",4,3/5,6/29
221,Song of the Sea,GK,"$857,522",48,"$21,910",2,12/19,5/28
222,Atlas Shrugged Part III: Who Is John Galt?,ADC,"$846,704",242,"$461,179",242,9/12,10/2
223,Kochadaiiyaan,Eros,"$817,192",161,"$583,172",161,5/23,6/5
224,Saw 10th Anniversary,LGF,"$815,324","2,063","$650,051","2,063",10/31,11/6
225,Life Itself,Magn.,"$810,454",100,"$131,411",23,7/4,10/16
226,Nymphomaniac: Volume I,Magn.,"$785,896",59,"$158,369",25,3/21,6/19
227,Breakup Buddies,CL,"$777,896",24,"$230,204",20,10/3,11/20
228,Palo Alto,Trib.,"$767,732",57,"$63,461",4,5/9,9/11
229,Ek Villain,Eros,"$730,530",104,"$414,116",104,6/27,7/10
230,Land Ho!,SPC,"$727,594",73,"$34,319",4,7/11,11/13
231,Yves Saint Laurent,Wein.,"$723,593",24,"$24,207",2,6/25,9/25
232,Khoobsurat,UTV,"$710,508",61,"$345,085",57,9/19,10/5
233,Holiday (2014),Relbig.,"$706,893",144,"$394,797",144,6/6,6/15
234,"Men, Women & Children",Par.,"$705,908",608,"$48,024",17,10/1,10/30
235,The Tale of The Princess Kaguya,GK,"$703,232",29,"$54,915",3,10/17,3/26
236,Frankie & Alice (2014),LGF,"$695,876",171,"$350,647",171,4/4,5/1
237,A Matter of Faith,5&2,"$677,577",52,"$138,677",25,10/17,-
238,Jodorowsky's Dune,SPC,"$647,280",61,"$36,018",3,3/21,7/31
239,Hasee Toh Phasee,Relbig.,"$646,035",88,"$336,985",88,2/7,3/6
240,Frank,Magn.,"$645,186",75,"$16,056",1,8/15,12/11
