Rank,Movie Title (click to view),Studio,Total Gross,Theaters,Opening,Theaters,Open,Close
237,Cartel Land,Orch.,"$704,352",65,"$15,581",2,7/3,11/15
238,Tangerine,Magn.,"$702,354",44,"$60,683",4,7/10,10/22
239,The Himalayas,CJ,"$696,717",36,"$13,387",3,12/18,2/7
240,Red Army,SPC,"$694,600",84,"$20,100",3,1/23,4/12
241,The D Train,IFC,"$673,151","1,009","$447,661","1,009",5/8,5/21
242,The Stanford Prison Experiment,IFC,"$660,561",79,"$37,514",2,7/17,9/24
243,The Assassin,WGUSA,"$632,542",53,"$47,892",4,10/16,12/20
244,"Kumiko, The Treasure Hunter",Ampl.,"$623,383",71,"$34,114",4,3/18,6/4
245,Brothers: Blood Against Blood,FIP,"$613,775",164,"$357,404",164,8/14,8/23
246,Welcome to Me,Alc,"$608,852",119,"$34,920",2,5/1,6/7
247,Detective Byomkesh Bakshy,Yash,"$579,055",82,"$338,637",82,4/3,4/12
248,Freeheld,LGF,"$573,335",148,"$37,983",5,10/2,11/12
249,When Marnie Was There,GK,"$561,085",57,"$27,388",2,5/22,8/20
250,Jimmy's Hall,SPC,"$560,592",47,"$19,881",3,7/3,11/5
251,A Little Chaos,Focus,"$558,173",87,"$181,791",83,6/26,7/23
252,Remember,EOne,"$547,009",43,"$27,006",27,10/16,-
253,By the Sea,Uni.,"$538,460",142,"$96,250",10,11/13,12/10
254,Gabbar is Back,Eros,"$534,601",107,"$279,429",107,5/1,5/14
255,The Last - Naruto the Movie,Elev.,"$524,451",34,"$179,370",23,2/20,3/26
256,Shaandaar,FIP,"$521,794",136,"$384,685",136,10/22,10/29
257,Black Panthers: Vanguard of the Revolution,PBS,"$516,893",12,"$20,215",1,9/2,12/17
258,Deli Man,Cohen,"$502,294",38,"$37,321",15,2/27,5/28
259,Peggy Guggenheim Art Addict,SD,"$498,428",25,"$22,258",2,11/6,2/21
260,Steve Jobs: The Man in the Machine,Magn.,"$494,506",68,"$140,064",68,9/4,11/12
261,Phantom (2015),UTV,"$489,984",93,"$266,756",93,8/28,9/13
262,Somewhere Only We Know,CL,"$482,341",46,"$304,934",46,2/13,3/12
263,Brotherly Love,Free,"$478,595",200,"$246,902",200,4/24,5/31
264,About Elly,CGld,"$470,760",16,"$13,180",1,4/8,10/4
265,Let's Get Married,CL,"$462,918",39,"$180,929",39,4/3,5/10
266,Bombay Velvet,FIP,"$450,692",218,"$390,774",218,5/15,5/28
267,Attack on Titan: Part 1,FUN,"$449,523",290,N/A,N/A,9/30,10/3
268,The Third Man (2015 re-release),Rialto,"$449,191",13,"$24,832",3,6/26,11/22
269,Felix and Meira,Osci.,"$447,353",44,"$15,000",1,4/17,-
270,Rosenwald,CIE,"$433,924",21,"$7,902",1,8/14,-
271,Saint Laurent,SPC,"$429,477",59,"$36,000",4,5/8,7/30
272,Listen to Me Marlon,SHO,"$425,831",38,"$30,068",2,7/29,10/8
273,Heart of a Dog,Abr.,"$420,813",22,"$13,893",1,10/21,3/31
274,The Witness (Wo shi zheng ren),CL,"$418,063",40,"$194,736",40,10/30,11/22
275,Janis: Little Girl Blue,FR,"$410,465",26,"$21,861",2,11/27,-
276,Unbranded,Grav.,"$410,185",80,"$141,416",80,9/25,12/17
277,Badlapur,Eros,"$409,166",82,"$227,759",82,2/20,3/12
278,The Hunting Ground,RTWC,"$405,917",25,"$22,464",2,2/27,8/23
279,The Apu Trilogy,Jan.,"$402,723",10,"$16,064",1,5/8,8/27
280,Freetown,Purd.,"$401,328",124,"$118,553",124,4/8,8/13
281,Coming Home (2015),SPC,"$377,607",55,"$26,361",3,9/9,12/17
282,The Second Mother,Osci.,"$376,986",223,"$24,086",3,8/28,12/20
283,Kahlil Gibran's The Prophet (Gathr),Gathr,"$370,146",1,N/A,N/A,10/1,12/17
284,Katti Batti,UTV,"$364,932",127,"$239,816",127,9/18,10/4
285,Kahlil Gibran's The Prophet,GK,"$355,343",37,"$27,435",2,8/7,10/15
286,Effie Gray,AF,"$352,534",201,"$161,728",201,4/3,4/23
287,Maps to the Stars,Focus,"$350,741",66,"$143,422",66,2/27,4/2
288,Noble,Asp.,"$347,321",175,"$231,319",175,5/8,5/31
289,Talvar,Rel.,"$342,370",51,"$144,713",51,10/2,11/1
290,Northern Limit Line,WGUSA,"$337,907",13,"$108,255",13,7/17,8/6
291,Ballet 422,Magn.,"$333,554",27,"$27,653",2,2/6,5/14
292,Shamitabh,Eros,"$324,597",137,"$241,720",137,2/6,2/19
293,Jafar Panahi's Taxi,KL,"$321,642",20,"$22,531",3,10/2,-
294,Good Kill,IFC,"$316,472",143,"$17,750",2,5/15,7/2
295,David and Goliath,REI,"$316,100",34,"$154,901",31,4/3,4/19
296,Running Man (2015),CL,"$310,978",21,"$186,926",20,1/30,3/5
297,Merchants of Doubt,SPC,"$308,156",30,"$20,300",4,3/6,6/11
298,Attack on Titan: Part 2,FUN,"$305,934",230,"$12,861",230,10/20,10/27
299,NH10,Eros,"$303,587",40,"$149,546",40,3/13,3/22
300,The Man in 3B,Free,"$291,513",36,"$109,043",36,11/6,12/24
301,Above and Beyond,ICir,"$288,751",13,"$6,448",1,1/30,5/7
302,Go Away Mr. Tumor,CL,"$286,639",18,"$50,036",15,8/14,9/17
303,Theeb,FM,"$283,024",27,"$9,181",3,11/6,-
304,White God,Magn.,"$282,358",29,"$16,139",2,3/27,6/25
305,A Borrowed Identity,Strand,"$281,540",22,"$10,308",1,6/26,10/15
